zipcode,pop_0_5,pop_5_12,pop_0_12,avg_income,employment_rate,total_existing_slots,num_existing_facilities,high_demand,desert_threshold,age_0_5_requirement,is_desert,current_coverage_ratio
10001,744.0,1349.0,2093.0,102878.03360298694,0.5950970226633091,609.0,9.0,0,690.69,496.0,1,0.2909698996655518
10002,2142.0,4965.0,7107.0,59604.04116465864,0.5206618050654748,4721.0,56.0,1,3553.5,1428.0,0,0.6642746587871113
10003,1440.0,1606.0,3046.0,114273.04964539009,0.4972437218107912,1995.0,7.0,0,1005.1800000000001,960.0,0,0.654957321076822
10004,433.0,279.0,712.0,132004.3103448276,0.5066608429788163,263.0,2.0,0,234.96,288.66666666666663,0,0.3693820224719101
10005,484.0,341.0,825.0,121437.7133105802,0.6658334280195433,39.0,1.0,1,412.5,322.66666666666663,1,0.04727272727272727
10006,128.0,141.0,269.0,126377.1186440678,0.6316916488222698,156.0,1.0,1,134.5,85.33333333333333,0,0.5799256505576208
10007,605.0,625.0,1230.0,138853.90428211587,0.528910205169198,284.0,3.0,0,405.90000000000003,403.3333333333333,1,0.23089430894308943
10009,1896.0,2759.0,4655.0,77133.23353293413,0.5145674278475812,1784.0,23.0,0,1536.15,1264.0,0,0.3832438238453276
10010,1422.0,2161.0,3583.0,116272.69881026926,0.4927491514964517,234.0,3.0,0,1182.39,948.0,1,0.06530840078146805
10011,1209.0,2018.0,3227.0,120420.79207920792,0.5569999212164185,1956.0,7.0,0,1064.91,806.0,0,0.6061357297799814
10012,613.0,405.0,1018.0,111131.78633975482,0.5382730015082956,24.0,2.0,0,335.94,408.66666666666663,1,0.023575638506876228
10013,1249.0,1934.0,3183.0,106023.04469273744,0.4861983499134213,435.0,5.0,0,1050.39,832.6666666666666,1,0.13666352497643733
10014,708.0,863.0,1571.0,124233.12883435584,0.6086012015885408,1711.0,6.0,1,785.5,472.0,0,1.0891152132399746
10016,1798.0,2107.0,3905.0,109298.7308818744,0.5652117934852582,823.0,3.0,0,1288.65,1198.6666666666665,1,0.21075544174135724
10017,193.0,316.0,509.0,118061.72291296624,0.7773022228358415,107.0,2.0,1,254.5,128.66666666666666,1,0.21021611001964635
10018,242.0,292.0,534.0,108746.18902439025,0.757593255572237,0.0,0.0,1,267.0,161.33333333333331,1,0.0
10019,1099.0,993.0,2092.0,107014.96779082986,0.6170789879811065,591.0,12.0,1,1046.0,732.6666666666666,1,0.28250478011472274
10021,1787.0,2550.0,4337.0,124193.91462306994,0.5418040450765218,460.0,1.0,0,1431.21,1191.3333333333333,1,0.10606409960802397
10022,1228.0,1575.0,2803.0,124320.79414838034,0.5698803072708867,16.0,1.0,0,924.99,818.6666666666666,1,0.005708169818052087
10023,3548.0,3753.0,7301.0,121776.25639482395,0.5057376799683438,1099.0,9.0,0,2409.33,2365.333333333333,1,0.15052732502396932
10024,4221.0,4633.0,8854.0,118313.14878892733,0.4603816866855704,1243.0,14.0,0,2921.82,2814.0,1,0.14038852496046986
10025,4499.0,5675.0,10174.0,93258.39398919934,0.4391264898750361,2553.0,36.0,0,3357.42,2999.333333333333,1,0.25093375270296836
10026,2222.0,3259.0,5481.0,65380.71800810655,0.4513262772768849,1706.0,43.0,0,1808.73,1481.3333333333333,1,0.31125706987775953
10027,3636.0,5219.0,8855.0,61675.983037779486,0.3941889797282922,3758.0,59.0,0,2922.15,2424.0,0,0.42439299830604177
10028,1719.0,3179.0,4898.0,117822.24532224532,0.5260625150381696,348.0,3.0,0,1616.3400000000001,1146.0,1,0.07104940792160065
10029,3965.0,5709.0,9674.0,48339.6723229959,0.4520326923585579,3358.0,68.0,1,4837.0,2643.333333333333,1,0.3471159809799462
10030,1872.0,2363.0,4235.0,48373.42271293375,0.4055264167839325,1266.0,27.0,1,2117.5,1248.0,1,0.29893742621015346
10031,2359.0,4226.0,6585.0,48674.798239178286,0.4465631347880217,1571.0,59.0,1,3292.5,1572.6666666666665,1,0.23857251328777523
10032,2238.0,3670.0,5908.0,46467.4900108972,0.4551917989417989,3209.0,81.0,1,2954.0,1492.0,0,0.5431618144888287
10033,3206.0,4039.0,7245.0,52235.16527279968,0.4276881674643593,2893.0,91.0,1,3622.5,2137.333333333333,1,0.3993098688750863
10034,2615.0,3190.0,5805.0,50708.04658549497,0.4544142410392109,3110.0,78.0,1,2902.5,1743.3333333333333,0,0.5357450473729544
10035,2382.0,3341.0,5723.0,50944.669365722,0.3839875631558492,2067.0,29.0,1,2861.5,1588.0,1,0.3611742093307706
10036,634.0,956.0,1590.0,94940.64443188242,0.5719366311024895,686.0,3.0,0,524.7,422.66666666666663,0,0.43144654088050316
10037,1070.0,1496.0,2566.0,57120.58212058212,0.5026648552617828,586.0,18.0,1,1283.0,713.3333333333333,1,0.2283710054559626
10038,772.0,1356.0,2128.0,95681.62574089757,0.5059332562224221,802.0,9.0,0,702.24,514.6666666666666,0,0.3768796992481203
10039,1898.0,2734.0,4632.0,47026.16970658208,0.4219225750326228,1423.0,34.0,1,2316.0,1265.3333333333333,1,0.3072107081174439
10040,1970.0,3680.0,5650.0,50772.05882352941,0.4673218335509587,2578.0,85.0,1,2825.0,1313.3333333333333,1,0.456283185840708
10044,939.0,818.0,1757.0,86945.03171247357,0.3992908998818166,489.0,5.0,0,579.8100000000001,626.0,1,0.27831531018782013
10065,2230.0,1870.0,4100.0,120720.64643799471,0.491266729317217,845.0,5.0,0,1353.0,1486.6666666666665,1,0.20609756097560974
10069,690.0,596.0,1286.0,133653.84615384616,0.519252276721521,16.0,1.0,0,424.38,460.0,1,0.012441679626749611
10075,1243.0,1278.0,2521.0,120113.13056379822,0.5635451505016722,235.0,1.0,0,831.9300000000001,828.6666666666666,1,0.09321697738992463
10128,2791.0,2868.0,5659.0,111992.48721227625,0.5517241379310345,301.0,3.0,0,1867.47,1860.6666666666665,1,0.053189609471638095
10162,134.0,21.0,155.0,137335.52631578947,0.4990151017728168,0.0,0.0,0,51.150000000000006,89.33333333333333,1,0.0
10280,318.0,312.0,630.0,134397.5903614458,0.4692977496324776,509.0,1.0,0,207.9,212.0,0,0.807936507936508
10282,418.0,920.0,1338.0,152181.6037735849,0.3286821705426356,279.0,2.0,0,441.54,278.66666666666663,1,0.2085201793721973
10301,2780.0,3354.0,6134.0,66913.36230309615,0.4564726885026406,1905.0,32.0,0,2024.22,1853.3333333333333,1,0.31056406912292145
