facility_id,zipcode,capacity,latitude,longitude
2416,13323,8,43.05745369180293,-75.38132000093299
9066,12590,8,41.59467309599733,-73.88706397493974
40163,10960,120,41.089425,-73.920413
41016,12077,75,42.607043,-73.788606
42005,12143,68,42.47648895938181,-73.82196750134129
51349,10474,6,40.818399,-73.888816
73544,10017,60,40.753216,-73.970794
108407,11225,16,40.661840506695306,-73.95439350182666
111953,11226,16,40.647230412714705,-73.95776665882944
126425,10465,12,40.841228,-73.823572
135331,12953,20,44.847878,-74.297567
173555,13045,85,42.574853,-76.216804
187741,10591,16,41.089705754508216,-73.84358299789072
234238,10469,16,40.865752,-73.847882
250057,10473,240,40.819564,-73.848827
253105,13076,8,43.35239024842212,-76.14827735662676
257751,11714,16,40.740553700641456,-73.48596563667107
262387,10924,112,41.404252,-74.335359
269090,11378,15,40.721854,-73.903974
271083,13820,8,42.46231047472864,-75.04897676093536
274852,10460,12,40.839556,-73.868169
297686,10940,14,41.450991691312645,-74.4697988849185
333723,11367,16,40.727462898108826,-73.81966702686059
340346,11422,16,40.66226397357833,-73.73500049852804
349917,10452,10,40.830097,-73.921286
354883,12528,8,41.71623899175896,-73.99211991904215
380719,14580,8,43.21995314820992,-77.4623425009115
386539,10451,12,40.82677,-73.925507
388430,12737,16,41.48496997593953,-74.79843443849558
407335,14072,44,43.052888,-78.957791
414911,11746,120,40.810875,-73.337204
420887,10532,30,41.093378,-73.814548
428117,11776,8,40.913106396497824,-73.04650604927379
436883,10452,16,40.837815841922605,-73.92219774954188
461005,11786,38,40.950933,-72.891727
479379,13440,16,43.237512,-75.447474
496065,11516,60,40.630779,-73.730383
499913,14424,8,42.86902240870245,-77.28462812576524
500895,10473,16,40.820518,-73.854203
503056,10456,16,40.83041398225364,-73.90881096982764
539596,10512,16,41.44363564016505,-73.68219562406018
551979,11373,16,40.73528851983044,-73.87690455289487
597006,10460,6,40.844991,-73.884606
620002,11366,16,40.735085,-73.775096
624233,10462,245,40.84489,-73.858149
641317,10456,16,40.83041398225364,-73.90881096982764
649188,10606,16,41.023861860825846,-73.77835494172231
659512,12871,8,43.08837807689863,-73.60089403970268
