location_id,zipcode,type,built,added_slots_total,added_slots_0_5_designated,cost_build,cost_equip_0_5_new
205,10003,L,1,400,103.00000399999999,115000,10300.000399999999
218,10003,L,1,400,200.0,115000,20000.0
300,10004,S,1,100,25.666667666666626,65000,2566.6667666666626
402,10005,L,1,400,183.66666766666663,115000,18366.66676666666
419,10005,M,1,200,100.0,95000,10000.0
606,10007,L,1,400,119.3333363333333,115000,11933.33363333333
813,10010,L,1,400,114.00000299999999,115000,11400.0003
814,10010,L,1,400,200.0,115000,20000.0
817,10010,L,1,400,200.0,115000,20000.0
819,10010,L,1,400,200.0,115000,20000.0
900,10011,M,1,200,100.0,95000,10000.0
1008,10012,L,1,400,200.0,115000,20000.0
1010,10012,L,1,400,174.30612906928081,115000,17430.61290692808
1106,10013,L,1,400,193.0202598210044,115000,19302.02598210044
1107,10013,L,1,400,200.0,115000,20000.0
1304,10016,L,1,400,200.0,115000,20000.0
1306,10016,L,1,400,200.0,115000,20000.0
1307,10016,L,1,400,200.0,115000,20000.0
1313,10016,L,1,400,200.0,115000,20000.0
1316,10016,L,1,400,184.16753186247354,115000,18416.753186247355
1400,10017,S,1,100,50.0,65000,5000.0
1500,10018,L,1,400,161.33333333333331,115000,16133.333333333332
1615,10019,L,1,400,115.68125739823665,115000,11568.125739823665
1705,10021,L,1,400,200.0,115000,20000.0
1709,10021,L,1,400,200.0,115000,20000.0
1710,10021,L,1,400,200.0,115000,20000.0
1715,10021,L,1,400,151.33333333333334,115000,15133.333333333334
1716,10021,L,1,400,200.0,115000,20000.0
1719,10021,L,1,400,200.0,115000,20000.0
1803,10022,L,1,400,200.0,115000,20000.0
1804,10022,L,1,400,197.45062147703413,115000,19745.062147703415
1808,10022,L,1,400,200.0,115000,20000.0
1812,10022,L,1,400,200.0,115000,20000.0
1902,10023,L,1,400,200.0,115000,20000.0
1904,10023,L,1,400,200.0,115000,20000.0
1908,10023,L,1,400,200.0,115000,20000.0
1909,10023,L,1,400,200.0,115000,20000.0
1911,10023,L,1,400,200.0,115000,20000.0
1912,10023,L,1,400,200.0,115000,20000.0
1916,10023,L,1,400,157.50411803026157,115000,15750.411803026156
2000,10024,L,1,400,200.0,115000,20000.0
2005,10024,L,1,400,200.0,115000,20000.0
2006,10024,L,1,400,200.0,115000,20000.0
2009,10024,L,1,400,200.0,115000,20000.0
2010,10024,L,1,400,200.0,115000,20000.0
2011,10024,L,1,400,200.0,115000,20000.0
2012,10024,L,1,400,200.0,115000,20000.0
2013,10024,L,1,400,200.0,115000,20000.0
2015,10024,L,1,400,200.0,115000,20000.0
2018,10024,L,1,400,200.0,115000,20000.0
2019,10024,S,1,100,50.0,65000,5000.0
2100,10025,L,1,400,200.0,115000,20000.0
2101,10025,L,1,400,200.0,115000,20000.0
2113,10025,L,1,400,200.0,115000,20000.0
2117,10025,L,1,400,200.0,115000,20000.0
2119,10025,M,1,200,100.0,95000,10000.0
2400,10028,M,1,200,100.0,95000,10000.0
2405,10028,L,1,400,200.0,115000,20000.0
2407,10028,L,1,400,200.0,115000,20000.0
2413,10028,L,1,400,200.0,115000,20000.0
2419,10028,L,1,400,200.0,115000,20000.0
2719,10031,M,1,200,0.0,95000,0.0
3319,10037,M,1,200,100.0,95000,10000.0
3710,10044,L,1,400,130.60151195496906,115000,13060.151195496906
3800,10065,L,1,400,200.0,115000,20000.0
3802,10065,L,1,400,200.0,115000,20000.0
3810,10065,L,1,400,200.0,115000,20000.0
3812,10065,L,1,400,200.0,115000,20000.0
3819,10065,L,1,400,199.26666966651942,115000,19926.66696665194
3903,10069,S,1,100,49.999995935628334,65000,4999.999593562833
3913,10069,L,1,400,200.0,115000,20000.0
3919,10069,L,1,400,187.80688070806625,115000,18780.688070806624
4000,10075,L,1,400,200.0,115000,20000.0
4005,10075,L,1,400,193.66666766666663,115000,19366.66676666666
4015,10075,L,1,400,200.0,115000,20000.0
4100,10128,L,1,400,200.0,115000,20000.0
4101,10128,L,1,400,159.6666696666665,115000,15966.666966666651
4102,10128,L,1,400,200.0,115000,20000.0
4103,10128,L,1,400,200.0,115000,20000.0
4105,10128,L,1,400,200.0,115000,20000.0
4113,10128,L,1,400,200.0,115000,20000.0
4115,10128,L,1,400,200.0,115000,20000.0
4119,10128,L,1,400,200.0,115000,20000.0
4212,10162,M,1,200,89.33333333333333,95000,8933.333333333332
4300,10280,L,1,400,200.0,115000,20000.0
4319,10280,S,1,100,12.0,65000,1200.0
4400,10282,S,1,100,37.666667666666626,65000,3766.6667666666626
4500,10301,M,1,200,100.0,95000,10000.0
4612,10302,M,1,200,100.0,95000,10000.0
4900,10305,M,1,200,100.0,95000,10000.0
4914,10305,L,1,400,168.6271217039348,115000,16862.71217039348
5000,10306,L,1,400,190.78717149978638,115000,19078.71714997864
5012,10306,L,1,400,200.0,115000,20000.0
5013,10306,L,1,400,200.0,115000,20000.0
5015,10306,L,1,400,200.0,115000,20000.0
5018,10306,L,1,400,200.0,115000,20000.0
5019,10306,L,1,400,200.0,115000,20000.0
5104,10307,L,1,400,200.0,115000,20000.0
5105,10307,L,1,400,200.0,115000,20000.0
5108,10307,M,1,200,73.00000299986031,95000,7300.000299986032
5218,10308,M,1,200,100.0,95000,10000.0
5219,10308,L,1,400,200.0,115000,20000.0
5306,10309,L,1,400,200.0,115000,20000.0
5316,10309,L,1,400,200.0,115000,20000.0
5317,10309,L,1,400,190.51298543055225,115000,19051.298543055225
5318,10309,L,1,400,200.0,115000,20000.0
5319,10309,L,1,400,200.0,115000,20000.0
5416,10310,L,1,400,200.0,115000,20000.0
5419,10310,M,1,200,58.59496735477603,95000,5859.496735477604
5500,10312,L,1,400,200.0,115000,20000.0
5503,10312,L,1,400,200.0,115000,20000.0
5506,10312,L,1,400,200.0,115000,20000.0
5513,10312,L,1,400,200.0,115000,20000.0
5514,10312,L,1,400,200.0,115000,20000.0
5515,10312,L,1,400,200.0,115000,20000.0
5518,10312,L,1,400,200.0,115000,20000.0
5519,10312,L,1,400,197.092749000489,115000,19709.2749000489
5600,10314,M,1,200,100.0,95000,10000.0
5601,10314,L,1,400,200.0,115000,20000.0
5602,10314,L,1,400,200.0,115000,20000.0
5606,10314,L,1,400,200.0,115000,20000.0
5607,10314,L,1,400,200.0,115000,20000.0
5608,10314,L,1,400,200.0,115000,20000.0
5610,10314,L,1,400,200.0,115000,20000.0
5611,10314,L,1,400,200.0,115000,20000.0
5612,10314,L,1,400,200.0,115000,20000.0
5613,10314,L,1,400,200.0,115000,20000.0
5614,10314,L,1,400,200.0,115000,20000.0
5615,10314,L,1,400,200.0,115000,20000.0
5617,10314,L,1,400,200.0,115000,20000.0
5619,10314,L,1,400,200.0,115000,20000.0
6705,10461,L,1,400,200.0,115000,20000.0
6713,10461,L,1,400,200.0,115000,20000.0
6719,10461,L,1,400,200.0,115000,20000.0
6800,10462,M,1,200,100.0,95000,10000.0
7500,10469,S,1,100,50.0,65000,5000.0
7501,10469,L,1,400,200.0,115000,20000.0
7519,10469,L,1,400,132.03731795419066,115000,13203.731795419066
7612,10470,L,1,400,176.0073251800078,115000,17600.73251800078
7700,10471,L,1,400,200.0,115000,20000.0
7706,10471,L,1,400,150.11758642525808,115000,15011.758642525809
8101,10475,L,1,400,199.00572879672518,115000,19900.572879672516
8119,10475,L,1,400,200.0,115000,20000.0
8200,10501,S,1,100,10.666666666666666,65000,1066.6666666666665
8500,10505,S,1,100,29.333333333333332,65000,2933.333333333333
8618,10506,L,1,400,122.34819020337213,115000,12234.819020337212
9100,10512,L,1,400,200.0,115000,20000.0
9119,10512,L,1,400,200.0,115000,20000.0
9400,10518,S,1,100,7.333333333333333,65000,733.3333333333333
9816,10524,M,1,200,68.4563033218671,95000,6845.63033218671
9912,10526,M,1,200,54.0,95000,5400.0
10419,10533,L,1,400,200.0,115000,20000.0
10716,10537,M,1,200,66.66666666666666,95000,6666.666666666666
10802,10538,L,1,400,0.0,115000,0.0
11100,10546,S,1,100,31.333333333333332,65000,3133.333333333333
11500,10550,S,1,100,0.0,65000,0.0
11513,10550,L,1,400,0.0,115000,0.0
11519,10550,L,1,400,192.70023923930194,115000,19270.023923930195
11700,10553,L,1,400,197.97435887284735,115000,19797.435887284733
11805,10560,L,1,400,126.33333433333331,115000,12633.333433333331
12106,10567,L,1,400,200.0,115000,20000.0
12118,10567,S,1,100,50.0,65000,5000.0
12119,10567,L,1,400,200.0,115000,20000.0
12400,10576,S,1,100,25.333334333333326,65000,2533.333433333333
12616,10578,M,1,200,18.666666666666664,95000,1866.6666666666665
12819,10580,L,1,400,0.0,115000,0.0
13008,10588,L,1,400,173.66666766656118,115000,17366.66676665612
13415,10594,L,1,400,198.11193354409062,115000,19811.19335440906
13600,10597,S,1,100,5.333333333333333,65000,533.3333333333333
13912,10603,L,1,400,170.98804382522917,115000,17098.804382522918
13918,10603,L,1,400,200.0,115000,20000.0
14418,10701,M,1,200,0.0,95000,0.0
14419,10701,L,1,400,0.0,115000,0.0
14606,10704,L,1,400,194.29119007073996,115000,19429.119007073998
14612,10704,L,1,400,200.0,115000,20000.0
14617,10704,M,1,200,100.0,95000,10000.0
15007,10708,L,1,400,129.33333533333325,115000,12933.333533333325
15013,10708,L,1,400,200.0,115000,20000.0
15019,10708,L,1,400,200.0,115000,20000.0
15606,10805,L,1,400,200.0,115000,20000.0
15611,10805,L,1,400,194.03532893831698,115000,19403.532893831696
15911,10916,L,1,400,93.32976693546145,115000,9332.976693546145
16114,10918,L,1,400,200.0,115000,20000.0
16119,10918,S,1,100,50.0,65000,5000.0
16502,10923,M,1,200,68.12421430970443,95000,6812.421430970443
16508,10923,L,1,400,200.0,115000,20000.0
16700,10925,S,1,100,31.020587816270382,65000,3102.058781627038
16815,10926,L,1,400,166.66666666666666,115000,16666.666666666664
17000,10928,S,1,100,41.85488174219188,65000,4185.488174219188
17107,10930,L,1,400,61.17482867072209,115000,6117.482867072209
17400,10950,L,1,400,0.0,115000,0.0
17401,10950,L,1,400,0.0,115000,0.0
17402,10950,L,1,400,0.0,115000,0.0
17404,10950,L,1,400,0.0,115000,0.0
17405,10950,L,1,400,0.0,115000,0.0
17406,10950,L,1,400,0.0,115000,0.0
17407,10950,L,1,400,0.0,115000,0.0
17408,10950,L,1,400,0.0,115000,0.0
17409,10950,L,1,400,0.0,115000,0.0
17411,10950,M,1,200,0.0,95000,0.0
17412,10950,L,1,400,0.0,115000,0.0
17413,10950,L,1,400,0.0,115000,0.0
17415,10950,L,1,400,0.0,115000,0.0
17419,10950,L,1,400,0.0,115000,0.0
17500,10952,L,1,400,200.0,115000,20000.0
17501,10952,L,1,400,200.0,115000,20000.0
17502,10952,L,1,400,200.0,115000,20000.0
17503,10952,L,1,400,200.0,115000,20000.0
17504,10952,L,1,400,200.0,115000,20000.0
17505,10952,L,1,400,200.0,115000,20000.0
17506,10952,L,1,400,200.0,115000,20000.0
17507,10952,L,1,400,200.0,115000,20000.0
17508,10952,L,1,400,200.0,115000,20000.0
17509,10952,L,1,400,200.0,115000,20000.0
17510,10952,L,1,400,200.0,115000,20000.0
17511,10952,L,1,400,200.0,115000,20000.0
17512,10952,L,1,400,200.0,115000,20000.0
17513,10952,L,1,400,200.0,115000,20000.0
17514,10952,L,1,400,195.69849516568914,115000,19569.849516568913
17515,10952,L,1,400,200.0,115000,20000.0
17516,10952,L,1,400,200.0,115000,20000.0
17517,10952,L,1,400,200.0,115000,20000.0
