batch,facility_id,zipcode,latitude,longitude,added_slots,cost
batch_8,628268,11433,40.693357,-73.796426,170,259781.22065727698
batch_8,709657,11433,40.697083,-73.78693,144,220400.0
batch_8,709682,11433,40.700664,-73.781951,106,165369.92481203008
batch_8,836325,11433,40.694046,-73.790794,86,134526.26728110597
batch_8,163763,11433,40.697083,-73.78693,63,102124.52830188678
batch_8,742493,11433,40.697083,-73.78693,60,96747.01986754966
batch_8,709699,11433,40.70767,-73.785549,50,82736.50793650793
batch_8,406925,11433,40.693869,-73.792188,25,45212.5
batch_8,883421,11433,40.701938,-73.783375,8,19800.0
batch_8,704224,11433,40.690942,-73.791641,6,17100.0
batch_8,309271,11433,40.698265,-73.776191,6,17100.0
batch_8,730596,11433,40.691664,-73.79046,6,17100.0
batch_8,388926,11433,40.700846,-73.783545,6,17100.0
batch_8,432388,11433,40.700699,-73.787732,6,17100.0
batch_8,473178,11433,40.688935,-73.791447,6,17100.0
batch_8,736972,11433,40.694153,-73.789864,6,17100.0
batch_8,861824,11433,40.690869,-73.79514,6,17100.0
batch_8,918347,11433,40.677119,-73.837474,6,17100.0
batch_8,894725,11433,40.689767,-73.79116,6,17100.0
batch_8,589404,11433,40.703728,-73.782404,6,17100.0
batch_8,795121,11433,40.697034,-73.772212,6,17100.0
batch_8,667816,11433,40.694088,-73.789817,6,17100.0
batch_8,493888,11433,40.702483,-73.787004,6,17100.0
batch_8,907581,11433,40.693279,-73.785428,6,17100.0
batch_8,911460,11433,40.699823,-73.787127,6,17100.0
batch_8,918158,11433,40.704278,-73.783872,6,17100.0
batch_8,656649,11433,40.698542,-73.795575,4,12866.666666666668
batch_8,210351,11433,40.695831,-73.792685,3,12900.0
batch_8,673941,11433,40.690868,-73.792462,3,12900.0
batch_8,371061,11433,40.697733,-73.77686,3,12900.0
batch_8,195607,13421,43.084759,-75.662731,51,84106.97674418605
batch_8,115003,13421,43.075168,-75.651225,24,43400.0
batch_8,779094,13421,43.102804,-75.660278,21,40724.52830188679
batch_8,889212,13421,43.09018,-75.646869,16,31600.0
batch_8,717706,13421,43.094931,-75.636101,6,17100.0
batch_8,765470,13421,43.085278,-75.660856,6,17100.0
batch_8,741989,10075,40.770415,-73.950906,94,147400.0
batch_8,39797,11554,40.7059,-73.5442,62,100200.0
batch_8,875443,11554,40.717768,-73.575067,57,92516.66666666666
batch_8,41047,11554,40.709037,-73.572901,52,85000.0
batch_8,42793,11554,40.730611,-73.54244,48,78800.0
batch_8,41051,11554,40.719378,-73.560173,40,67000.0
batch_8,778671,11554,40.712782,-73.558217,36,61400.0
batch_8,41894,11554,40.712564,-73.531866,24,43400.0
batch_8,839053,11554,40.705002,-73.564451,14,29400.0
batch_8,753650,11554,40.725496,-73.563316,6,17100.0
batch_8,360343,11554,40.724861,-73.565762,6,17100.0
batch_8,898801,11554,40.713138,-73.570128,6,17100.0
batch_8,887737,11554,40.714336,-73.541315,6,17100.0
batch_8,900776,11554,40.704952,-73.561582,6,17100.0
batch_8,899896,11554,40.709132,-73.558345,6,17100.0
batch_8,897787,11554,40.708711,-73.534055,6,17100.0
batch_8,888074,11554,40.725429,-73.564018,6,17100.0
batch_8,732816,11570,40.666095,-73.642345,86,134526.26728110597
batch_8,404856,11570,40.671225,-73.622518,58,94600.0
batch_8,734650,11570,40.663601,-73.644956,36,61312.08791208791
batch_8,39850,11570,40.662666,-73.648662,33,58151.80722891566
batch_8,44529,11570,40.660409,-73.645812,17,34506.976744186046
batch_8,802791,11570,40.667359,-73.656168,6,17100.0
batch_8,909607,11570,40.655086,-73.631321,6,17100.0
batch_8,858372,11570,40.670885,-73.656982,6,17100.0
batch_8,35401,11570,40.670926,-73.657822,5,14742.857142857141
batch_8,892458,11570,40.640409,-73.602313,4,12866.666666666668
batch_8,864867,11201,40.70034,-73.987477,160,244000.0
