batch,location_id,zipcode,latitude,longitude,size,added_slots,build_cost,equip_cost_0_5
batch_8,58545,12303,42.79139269937695,-73.95010657784556,medium,200,95000.0,16000.0
batch_8,58592,12303,42.791907763427325,-73.94851632043259,large,400,115000.0,32000.0
batch_8,33440,11570,40.67355370248365,-73.63032154685524,medium,200,95000.0,16000.0
batch_8,33498,11570,40.673606869971785,-73.63176729299997,large,400,115000.0,32000.0
batch_8,124396,14086,42.89274799291019,-78.65453372315596,large,400,115000.0,32000.0
batch_8,124368,14086,42.89173021601752,-78.6713099614597,medium,200,95000.0,16000.0
batch_8,71644,12721,41.555808706473584,-74.4210131812197,large,400,115000.0,32000.0
batch_8,71609,12721,41.55755834114604,-74.42058496506706,medium,200,95000.0,16000.0
batch_8,30565,11433,40.70442611556292,-73.77835725533274,large,400,115000.0,32000.0
batch_8,30561,11433,40.70561587893276,-73.79596782242476,medium,200,95000.0,16000.0
batch_8,20510,11001,40.73280727737513,-73.71395225415051,medium,200,95000.0,16000.0
batch_8,20520,11001,40.7332544535312,-73.7009875061564,large,400,115000.0,32000.0
batch_8,58876,12306,42.78043513095309,-73.98564698377515,large,400,115000.0,32000.0
batch_8,58898,12306,42.78101967611536,-73.99004713522882,large,400,115000.0,32000.0
batch_8,110490,13669,44.69972648914035,-75.47023060247584,medium,200,95000.0,16000.0
batch_8,110401,13669,44.69839008129971,-75.46811658426724,large,400,115000.0,32000.0
batch_8,13994,10603,41.05897219003412,-73.78669035053096,medium,200,95000.0,16000.0
batch_8,13991,10603,41.05900868644014,-73.78543860816583,large,400,115000.0,32000.0
batch_8,128855,14216,42.94072008087061,-78.85051569577224,small,100,65000.0,8000.0
batch_8,128811,14216,42.95975459538731,-78.85202237775452,large,400,115000.0,32000.0
batch_8,128846,14216,42.94065617514242,-78.85288834938002,large,400,115000.0,32000.0
batch_8,34199,11581,40.64268778789874,-73.71884731131551,large,400,115000.0,32000.0
batch_8,34165,11581,40.6618441211746,-73.71836385430068,medium,200,95000.0,16000.0
batch_8,101913,13421,43.077453121768414,-75.64216046219408,large,400,115000.0,32000.0
batch_8,101994,13421,43.07759629789531,-75.64405661203278,medium,200,95000.0,16000.0
batch_8,117400,13833,42.19544011419901,-75.75010908075458,large,400,115000.0,32000.0
batch_8,117402,13833,42.20032834772071,-75.75011692358626,medium,200,95000.0,16000.0
batch_8,21817,11096,40.63011366685546,-73.756208287265,large,400,115000.0,32000.0
batch_8,21833,11096,40.63045017447938,-73.7536859343175,medium,200,95000.0,16000.0
batch_8,132400,14472,42.960155705510616,-77.57999154115517,medium,200,95000.0,16000.0
batch_8,132401,14472,42.97632237713108,-77.57537832028248,large,400,115000.0,32000.0
batch_8,136200,14726,42.27072156316969,-79.02579907801987,large,400,115000.0,32000.0
batch_8,136202,14726,42.26541582017894,-79.0139318435692,medium,200,95000.0,16000.0
batch_8,130240,14303,43.07851985612311,-79.04623524226757,medium,200,95000.0,16000.0
batch_8,130205,14303,43.07804391812579,-79.04475497764804,large,400,115000.0,32000.0
batch_8,4057,10075,40.7056596538717,-74.0130117296123,large,400,115000.0,32000.0
batch_8,4018,10075,40.70485064878856,-74.01040148642532,large,400,115000.0,32000.0
batch_8,58470,12302,42.88943116138949,-74.00064413690154,medium,200,95000.0,16000.0
batch_8,58400,12302,42.8877707985941,-73.99888213325656,large,400,115000.0,32000.0
batch_8,29081,11414,40.650525334785385,-73.85148820612815,large,400,115000.0,32000.0
batch_8,29021,11414,40.65008586382645,-73.83741213340446,large,400,115000.0,32000.0
batch_8,57696,12204,42.69367879545473,-73.74463361922145,large,400,115000.0,32000.0
batch_8,57680,12204,42.67599378291556,-73.7450388651293,large,400,115000.0,32000.0
batch_8,135063,14608,43.14316942408488,-77.63519273245679,small,100,65000.0,8000.0
batch_8,135058,14608,43.142874100113765,-77.63393944339889,large,400,115000.0,32000.0
batch_8,22640,11201,40.70316822746104,-73.99631979460096,large,400,115000.0,32000.0
batch_8,22663,11201,40.70398480981114,-73.99333544836504,large,400,115000.0,32000.0
batch_8,22657,11201,40.703954492910334,-73.99140110466509,large,400,115000.0,32000.0
batch_8,22623,11201,40.70392140460414,-73.98890780660092,medium,200,95000.0,16000.0
batch_8,32468,11554,40.72443514584933,-73.54799351175875,small,100,65000.0,8000.0
batch_8,32441,11554,40.70630163633751,-73.56542476984868,large,400,115000.0,32000.0
batch_8,59005,12308,42.80807019976185,-73.92565108068234,small,100,65000.0,8000.0
batch_8,59054,12308,42.81076659893568,-73.92966956472242,large,400,115000.0,32000.0
batch_9,56753,12189,42.73963191030604,-73.71834442148972,large,400,115000.0,32000.0
batch_9,56736,12189,42.720488320636,-73.72153095303739,small,100,65000.0,8000.0
batch_9,123665,14070,42.480919821129255,-78.92436550232642,large,400,115000.0,32000.0
batch_9,123622,14070,42.48040471561172,-78.94347490851581,small,100,65000.0,8000.0
batch_9,106062,13601,43.96474456401202,-75.91939460778252,large,400,115000.0,32000.0
batch_9,106031,13601,43.96502339246784,-75.9042076704235,medium,200,95000.0,16000.0
batch_9,35540,11706,40.695662859542736,-73.2415611745226,large,400,115000.0,32000.0
